Pre-Prod No.;Client;Description;Artwork required;STATUS;Comments;Artwork Received;Sent Proof for WT_SP;Sent Proof to Client;Proof Approved (Conventional);Ordered Plates;Plates Arrived;Ordered Foil Block;Foil Block Arrived;Quoted;Spec Supplied
11565;Life Day Spa Cape Town;Muscle Ease  200ml;X;Closed;;04.10.2016;05.10.2016;06.10.2016;13.10.2016;14.10.2016;19.10.2016;;;;X
11566;Bowler CT;digital board for Digital machine (General Posis);;;-;;;-;-;-;-;-;-;;X
11569;Jenpak;Joval Bottle Black 50ml;;;-;;;-;-;-;-;-;-;;X
12007;Revlon SA;Project Honey Fire and Ice Cool 250ml;X;;;;;-;-;-;-;-;-;;X
6487;#N/A;#N/A;#N/A;Closed;Pre-Production complete;;-;12.03.2012;-;-;-;;;Internal;X
5830;#N/A;#N/A;#N/A;Closed;Pre-Production complete;;;-;-;-;-;-;-;Internal;
6126;#N/A;#N/A;#N/A;Closed;Pre-Production complete;;;-;-;-;-;-;-;Internal;X
7396;#N/A;#N/A;#N/A;Closed;Pre-Production complete;;-;08.11.2011;-;-;-;;;;X
7874;#N/A;#N/A;#N/A;Closed;Pre-Production complete;;-;12.03.2012;-;-;-;;;;X
7932;J&J;Baby Powder 100 Gm B/Time P/proof Bott;;Closed;To be trialed;08/06/2012;12/06/2012;15.06.2012;09.07.2012;10.07.2012;-;;;;X
7933;J&J;Baby Powder 200Gm B/Time P/Proof Bott;;Closed;To be trialed;08/06/2012;12/062012;15.06.2012;09.07.2012;10.07.2012;-;;;;X
7934;J&J;Baby Powder 400Gm B/Time P/Proof Bott;X;Closed;To be trialed;08/06/2012;12/06/2012;15.06.2012;09.07.2012;10.07.2012;-;;;;X
8005;Prime Products;Pure Heel Balm 50Ml T&C PBL  Wh 33B/On White ;;Closed;Pre-Production complete;01.06.2016;04.07.2016;04.07.2016;-;-;-;;;04.10.2011;
7951;J&J;Baby Powder 50gm P/Proof Bott;;Closed;Pre-Production complete;;;-;-;-;01.06.2012;-;-;;
7952;J&J;Baby Powder 100 Gm P/Proof Bott;X;Closed;Pre-Production complete;;;-;-;-;01.06.2012;-;-;;
7953;J&J;Baby Powder 200 Gm P/Proof Bott;X;Closed;Pre-Production complete;;;-;-;-;01.06.2012;-;-;;
7954;J&J;Baby Powder 250 Gm P/Proof Bott (on hold);X;Cancelled;-;;;-;-;-;01.06.2012;-;-;;
7955;J&J;Baby Powder 400 Gm P/Proof Bott;X;Closed;Pre-Production complete;;;-;-;-;01.06.2012;-;-;;
7956;J&J;Baby Powder 500 Gm P/Proof Bott (on hold);;Cancelled;-;;;-;-;-;-;-;-;;
7997;J&J;Johnson's Baby Soft Cream 200Ml T&C Ld Pink 48 B/On Pink;;Closed;Pre-Production complete;;;-;-;-;-;-;-;03.04.2012;X
8002;Prime Products;Pure Aloe & Camph Calm Hands H/Crm 100Ml T&C PBL Wh 38 S/On Wh;;Closed;Pre-Production complete;;;-;-;-;-;-;-;04.10.2011;X
8003;Prime Products;Enrich Hands Pure Marula H/Cream T&C PBL Wh 38B/On Wh;;Closed;Pre-Production complete;;;-;-;-;-;-;-;04.10.2011;X
8004;Prime Products;Nature Pure Cocoa Butter H/Crm 100Ml T&C PBL Wh 38B/On Wh;;Closed;Pre-Production complete;;;-;-;-;-;-;-;04.10.2011;X
8016;Boardman Bros;Wonda Wave Reg Hair Food  180Ml  Jar & Lid;;Cancelled;;;-;14.03.2012;-;-;-;;;;X
8006;Le-Sel;Tahlita Bal Moisturiser 75Ml T&C LD wh 38 B/On TnT Blue;;Closed;Pre-Production complete;;;-;-;-;-;-;-;;X
8017;Boardman Bros;Wonda Wave Coconut Oil 180Ml Jar & Lid;;Cancelled;;;-;14.03.2012;-;-;-;;;;X
8018;Boardman Bros;Wonda Wave Castor Oil hair Food  180Ml Jar & Lid;;Cancelled;;;-;14.03.2012;-;-;-;;;;X
8178;Prime Products;Kieviets Kroon Bod Wash 25Ml T&C PBL Wh 25 A White;;Closed;Pre-Production complete;;-;22.02.2012;-;-;-;;;Internal;X
8026;Le-Sel;Pedi Perfect Active Plus Solid 100Ml T&C Coex Red B/On Tnt Red Fugi (Closed as per email dated 2/10);;Cancelled;-;;;-;-;-;-;-;-;;X
8027;Le-Sel;Pedi Perfect Active PlusWith Vignette100Ml T&C Coex Red B/On Tnt Red Fugi (Closed as per email dated 2/10) 21/8/13 Project closed  Boxed in office .;;Cancelled;-;;;-;-;-;-;-;-;;X
8033;Le-Sel;Skin Man 50Ml Trip Act Foam F/Wash T&C Coex Black 33B/On Black;;Closed;Pre-Production complete;;;-;-;-;-;-;-;x;X
8053;SH'ZEN;SH'Zen Detox Body Wash 200ml T&C Coex Prl Green 48 B/On Green;X;-;-;-;;-;-;-;-;-;-;;X
8054;Le-Sel;Skin Care B/Care Pur Clay Exfol 50Ml T&C Coex Pink 33 B/On TnT Pink;;Closed;Pre-Production complete;;;-;-;-;-;-;-;16.11.2011;X
8122;B I A Cosmetics;Aloe Cleans Crm 150Ml T&C Coex prl Wh 38 B/On Silver;;Closed;Pre-Production complete;;;-;-;-;-;-;-;x;X
