Date_Log,Trial_Description,Num_Colours,Order_Status,Tubes_Status,Plates_Status,PP_Num,DIA,Specifications,Completion_Date,Comments,Source_Week
2025-11-20,Environ,2,,x,x,20794,50,50x132/10 Coex White,2026-01-23,,Week 3
2025-11-21,Orijins,3,,x,x,20844,35,35x90/6 Coex White,2026-01-23,,Week 3
,Nipple Cream ( Portia),6,,,,20460,35,35x110/10 Coex White,,Retrial wait on new art  8/12 still no art approval.,Week 3
,Cuticura Overseas Plates,,,,,,,,,Tubes will run next 50 run 29 nov.,Week 3
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,,Week 3
2025-12-02,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 3
,Playboy Tube trials,,,,,,,,,24/11We found a few samples and sent to customer. Lets see what they say.,Week 3
,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 3
,Laminate Print Trial/Cindi Week 3,,,,,,,,,,Week 3
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 3
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 3
,Laminate  Assebly Week 3,,,,,,,,,,Week 3
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 3
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 3
,Foil Week 3,,,,,,,,,,Week 3
,Environ,2,,,,20794,50,50x132/10 Coex White,,,Week 3
2025-12-12,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 3
2025-12-12,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 3
,Offset  Trail Week 3,,,,,,,,,,Week 3
,S/S  Week 3,,,,,,,,,,Week 3
2025-08-07,Epimax Tissue Oil,3,,x,x,20585,125ml,125 bottle,Week 4,Bottles at machine. Wait on Orer to do trial???,Week 3
2026-01-22,Nipple Cream,6,,,,20460,35,35x110/10 Coex White,2026-01-24,Retrial wait on new art  8/12 still no art approval.,Week 4
2026-01-22,Lumi Glow,2,,,,20869,40,40x120/10 Coex White,2026-01-24,,Week 4
,Cuticura Overseas Plates,,,,,,,,,Tubes will run next 50 run 29 nov.,Week 4
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,,Week 4
2025-12-02,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 4
,Playboy Tube trials,,,,,,,,,24/11We found a few samples and sent to customer. Lets see what they say.,Week 4
,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 4
,Laminate Print Trial/Cindi Week 4,,,,,,,,,,Week 4
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 4
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 4
,Laminate  Assebly Week 4,,,,,,,,,,Week 4
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 4
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 4
,Foil Week 4,,,,,,,,,,Week 4
2025-01-19,Environ,2,,,,20794,50,50x132/10 Coex White,2026-01-21,,Week 4
2025-12-12,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 4
2025-12-12,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 4
,Offset  Trail Week 4,,,,,,,,,,Week 4
,S/S  Week 4,,,,,,,,,,Week 4
2025-08-07,Epimax Tissue Oil,3,,x,x,20585,125ml,125 bottle,2026-01-24,Bottles at machine. Wait on Orer to do trial???,Week 4
2026-01-29,Baku,2,,x,x,20877,35,35x90/4 Coex White,2026-01-31,,Week 5
2026-01-29,W Beauty,1,,x,x,20878,35,35x90/4 Coex White,2026-01-31,,Week 5
2026-01-29,Epimax,2,,x,x,20906,50,50x160/10Coex White,2026-01-31,,Week 5
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these.,Week 5
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,,Week 5
2025-12-02,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 5
,Presta,4,x,,,20875,50,50x180/10Coex Black,,,Week 5
,Presta,4,x,,,20876,50,50x180/10Coex Black,,,Week 5
,House of Aloe,,,,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 5
,Playboy Tube trials,,,,,,,,,24/11We found a few samples and sent to customer. Lets see what they say.,Week 5
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 5
,Laminate Print Trial/Cindi Week 5,,,,,,,,,,Week 5
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 5
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 5
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 5
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 5
,Laminate  Assebly Week 5,,,,,,,,,,Week 5
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 5
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 5
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 5
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 5
,Foil Week 5,,,,,,,,,,Week 5
2025-12-12,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 5
2025-12-12,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 5
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 5
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 5
,Offset  Trail Week 5,,,,,,,,,,Week 5
,S/S  Week 5,,,,,,,,,,Week 5
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 6
2026-02-06,I/G 3 in 1,4,x,,x,20897,25,25x145/4 Coex White,2026-02-07,,Week 6
2026-02-06,I/G Ultra,4,x,,x,20898,25,25x145/4 Coex White,2026-02-07,,Week 6
2026-02-06,Chemical & Minral,4,x,,x,20874,35,35x100/10 Coex White,2026-02-07,,Week 6
2026-02-06,I/G Mademoiselle,1,x,x,x,20922,35,35x117/4 Coex Yellow,2026-02-07,,Week 6
2026-02-06,I/G Bella,1,x,x,x,20923,35,35x117/4 Coex Blue,2026-02-07,,Week 6
,Oxy Daily Face Wash 150ml,4,,x,,20910,50,50x125/10 Coex White,,may not get these approvals this week,Week 6
,Oxy Anti-Spot Scrub 150ml,4,,x,,20911,50,50x125/10 Coex White,,may not get these approvals this week,Week 6
,Oxy Charcoal 3 in 1 125ml,5,,x,,20912,50,50x125/10 Coex White,,may not get these approvals this week,Week 6
,Simply Florals,7,,x,,,50,50x180/10 LDPE Pink,,,Week 6
2026-02-07,Simply Florals,7,,x,x,,50,50x180/10 LDPE Lilac,2026-02-08,1st attempt 2 attempt after plate correction will be 12/2,Week 6
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,8/12 needs to be retrialled,Week 6
,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 6
,Presta,4,x,x,,20875,50,50x180/10Coex Black,,,Week 6
,Presta,4,x,x,,20876,50,50x180/10Coex Black,,,Week 6
,House of Aloe,,,x,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 6
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 6
,Laminate Print Trial/Cindi Week 6,,,,,,,,,,Week 6
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 6
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 6
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 6
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 6
,Laminate  Assebly Week 6,,,,,,,,,,Week 6
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 6
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 6
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 6
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 6
,Foil Week 6,,,,,,,,,,Week 6
2025-12-12,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 6
2025-12-12,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 6
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 6
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 6
,Offset  Trail Week 6,,,,,,,,,,Week 6
,S/S  Week 6,,,,,,,,,,Week 6
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 7
2026-02-06,I/G 3 in 1,4,x,,x,20897,25,25x145/4 Coex White,2026-02-13,,Week 7
2026-02-06,I/G Ultra,4,x,,x,20898,25,25x145/4 Coex White,2026-02-13,,Week 7
2026-02-12,Oxy Daily Face Wash 150ml,4,,x,,20910,50,50x125/10 Coex White,2026-02-14,may not get these approvals this week,Week 7
2026-02-12,Oxy Anti-Spot Scrub 150ml,4,,x,,20911,50,50x125/10 Coex White,2026-02-14,may not get these approvals this week,Week 7
2026-02-12,Oxy Charcoal 3 in 1 125ml,5,,x,,20912,50,50x125/10 Coex White,2026-02-14,may not get these approvals this week,Week 7
2026-02-11,Simply Florals,7,,x,,20886,50,50x180/10 LDPE Pink,,,Week 7
2026-02-11,Simply Florals,7,,x,,20887,50,50x180/10 LDPE Pink,,,Week 7
2026-02-07,Simply Florals,7,,x,x,20885,50,50x180/10 LDPE Lilac,2026-02-12,8/2 1st attempt 2 attempt after plate correction will be 12/2,Week 7
2026-02-07,Simply Florals,7,,x,x,208854,50,50x180/10 LDPE Lilac,,,Week 7
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,8/12 needs to be retrialled,Week 7
,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 7
,Presta,4,x,x,x,20875,50,50x180/10Coex Black,,,Week 7
,Presta,4,x,x,x,20876,50,50x180/10Coex Black,,,Week 7
