Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
10209;Glyco Lemon Vanish Cream Lemon 50ml;AJ North;17.11.14;01.12.2014;7X4;;;;
10210;Glyco Lemon Vanish Crm Reglr 50ml;AJ North;17.11.14;01.12.2014;7X4;;;;
10317;Inuka Luxury Lotion 20ml;InukA;23.01.15;26.01.2015;8X3;;;;
10335;Purity Kids Toothh Gel 20g;Tiger (Filler Prime);26.01.15;24.02.2015;7X4;;;;
10993;OSH Foot Serum 100ml;Britec Labs;10.02.15;10.11.2015;8X3;;;;
10292;Burneaze Tubes 100ml;Be Safe Paramedical CC;12.02.15;12.02.2015;8.5x3.5;;;;
10388;Hand Sanitiser 50ml;Pepper Tree Packaging;12.02.15;12.02.2015;8x3;;;please note that customer made a small adjustment to one of the words but no need for retrialling;
10386;Skoon Skin Tube 125ml;Skoon Skin;17.02.15;26.02.2015;8x3;;;;
10387;Skoon Skin Tube 60ml;Skoon Skin;17.02.15;26.02.2015;8X3;;;;
10348;Aloe and Propolis Toothpaste100ml;Nature Fresh;18.02.15;19.02.2015;8X3;;;;
10351;Herbal Anti Microbial Toothpaste 100ml;Nature Fresh;18.02.15;19.02.2015;8X3;;;;
10364;Marula Regenerating Body Hydro-Serum150ml;Brunational;20.02.15;23.02.2015;8X3;;;;
10350;Aloe Skin Therapy Gel 75ml;Nature Fresh;02.03.15;05.03.2015;8X3;;;;
10371;First Aid Balm 75ml;Nature Fresh;02.03.15;05.03.2015;8X3;;;;
10424;Cleansing Lotion 30ml ( PD IN FULL);Advacos;03.03.15;04.03.2015;8X3;;;;
10425;Complextion Revitalizing Serum 30ml;Advacos;03.03.15;04.03.2015;8X3;;;;
10414;Mentholatum Eskamel 20g;WRAPSA;04.03.15;16.03.2015;8X3;;;;
10432;Hardener Paste Tube;Senseb Design;04.03.15;06.03.2015;8X3;;;;
10449;Magnolia 50ml F/Seal;Catwalk;05.03.15;06.03.2015;8X3;;;;
10399;Pure Cream Cocoa Butter Hand Cream 100ml;Prime Products;10.03.15;12.03.2015;8X3;;;;
10400;Pure Cream Milk and Honey Hand Cream 100ml;Prime Products;10.03.15;12.03.2015;8X3;;;;
10401;Pure Cream Aloe Vera Hand Cream 100ml;Prime Products;10.03.15;12.03.2015;8X3;;;;
10467;Good Stuff Moisture Blast 75ml;Saradox;12.03.15;17.03.2015;8X3;;;;
10465;Pure Infant Nappy Cream 100ml;Reitzer Pharm.;17.03.15;23.03.2015;8X3;;;;
10255;Alofe Hand a& Body Cream 15ml ABL(duplicate 10667);The House of Aloes (Pty) Ltd.;23.03.15;02.04.2015;2X10;;;;
10257;Alcare Aloe Gel 15ml;The House of Aloes (Pty) Ltd.;23.03.15;02.04.2015;2X10;;;;
10509;Pink Blossom 75ml;Catwalk;31.03.15;01.04.2015;8X3;;;;
10492;Everysun Kids-Boys Sunscreen Lot SPF50 50ml;Inco Labs;01.04.15;10.04.2015;8X3;;;;
10493;Everysun Waterbabies Sunscreen Lotion SPF50 50ml;Inco Labs;01.04.15;10.04.2015;8X3;;;;
10494;Everysun Kids Girls Sunscreen Lotion SPF50 50ml;Inco Labs;01.04.15;10.04.2015;8X3;;;;
10512;Muffler Paste 190g;Khnene Coatings;01.04.15;02.04.2015;3X1.5;;;;
10504;Creamy Caress Hand and Body Cream 75ml;Canway;07.04.15;10.04.2015;8X3;;;;
10522;Magnolia Hand & Nail Cream 75ml (Digital);Catwalk;07.04.15;07.04.2015;8X3;;;;
10523;Jointeze Warming Gel 50ml;Nativa;08.04.15;10.04.2015;6X2;;;;
10419;Olgani Natural 75ml C.O.D. (PD IN FULL);Olgani;13.04.15;24.04.2015;7x4;;;;
10508;Eyelid Cleanser 50ml C.O.D. (PD IN FULL);The Lash Collection;13.04.15;14.04.2015;8X3;;;;
10510;Inuka Luxury Lotion 20ml;InukA;13.04.15;13.04.2015;8x3;;;;
10511;Inuka Luxury Body Wash 20ml;InukA;13.04.15;13.04.2015;8x3;;;;
10517;Active Stem Cell 50ml C.O.D.( PD IN FULL);Active Skincare;13.04.15;17.04.2015;8X3;;;;
10588;I - Cura Topical Gel 50g;Fulvimed;13.04.15;17.04.2015;8X3;;;;
10411;Tifgifts Mens Facial Wash 50ml;SCENT PACK;15.04.15;23.04.2015;8X3;;;;
10412;Tifgifts Mens Aftershave Balm 50ml;SCENT PACK;15.04.15;23.04.2015;8X3;;;;
10415;Tifgifts Mens Shower Gel 50ml;SCENT PACK;15.04.15;23.04.2015;8x3;;;;
10418;Tifgifts Mens Shaving Gel 50ml;SCENT PACK;15.04.15;23.04.2015;8x3;;;;
10545;Source Cherry Blossom & Pistachio Cream 75ml;Britec Labs;15.04.15;30.04.2015;8x3;;;;
10581;Aloe and Rooibos Body Milk 30ml;MRL Private Collection;22.04.15;22.04.2015;8X3;;;;
10559;Baby Bum Cream 75ml;Canway;04.05.15;01.06.2015;8X3;;;;
10506;Creamy Caress Hand and Body Cream 140ml;Canway;05.05.15;20.05.2015;8x3;;; ;
10582;Fruits of Nature Pomegranate 50ml;SCENT PACK;05.05.15;06.05.2015;8X3;;;;
10586;Fruits Of Nature Paw Paw 50ml;SCENT PACK;05.05.15;06.05.2015;8x3;;;;
10597;Aloe Ferrox Eye Cream 30ml;Aloe Ferox;05.05.15;11.05.2015;8x3;;;;
10387_1;Skoon Skin;Skoon Skin Tube 60ml;05.05.15;06.05.2015;8X3;;;;
10583;Tum and Bum Firming 30ml;Herbex;07.05.15;11.05.2015;8X2;;;;
10598;Ocean Blue Foshini Body Range 175ml;Aerosol & Cosm.;07.05.15;04.06.2015;8x3;;;;
10599;Deep Secret Foshini Body Range 175ml;Aerosol & Cosm.;07.05.15;04.06.2015;8x3;;;;
10600;Midnight Spell Foshini Body Range 175ml;Aerosol & Cosm.;07.05.15;04.06.2015;8x3;;;;
10601;Bright Diamond Foshini Body Range 175ml;Aerosol & Cosm.;07.05.15;04.06.2015;8x3;;;;
10611;Olivia Olive Oil 75ml T&C - fuji sleeve;Reitzer Pharm.;13.05.15;14.05.2015;8X3;;;;
10631;50ml Moisturiser C.O.D. ( PD IN FULL);Advacos;13.05.15;25.05.2015;8X3;;;;
10632;Complex Revitalizing Serum 50ml C.O.D. ( PD IN FULL);Advacos;13.05.15;25.05.2015;8X3;;;;
10623;Aloe Gel 75ml ( C.O.D. POCOR5/5/15) PD IN FULL;Aloe Unique;14.05.15;15.05.2015;8X3;;;;
10635;Aloe Unique Aloe and Honey Honey Mask 75ml (C.O.D. POCOR5/5/15) PD IN FULL;Aloe Unique;14.05.15;15.05.2015;8X3;;;;
10596;Alcare Aloe Hand Cream 15ml Same as 10256;The House of Aloes (Pty) Ltd.;15.05.15;20.05.2015;2x10;;;;
10422;Copper Compound 100g;Spanjaard;18.05.15;17.06.2015;8X3;;;First draft send on the 31 March but customer requested changes to artwork and last draft send on the 18 May;
10661;Chaffing Repair Cream 100ml;Silverlabs;19.05.15;27.05.2015;8X3;;;;
10642;T/Charm Lady Million Hand and Nail 75ml;Le-Sel;20.05.15;21.05.2015;8X3;;;;
10643;T/Charm Red Door Hand and Nail 75ml;Le-Sel;20.05.15;21.05.2015;8X3;;;;
10660;Dermasure Hydratiion 75ml;Dermasure;21.05.15;21.05.2015;5x3;;;;
10666;Biocream Anticeptic Cream 25g (PD IN FULL);Dismed;21.05.15;22.05.2015;8X3;;;;
10670;Good Stuff Bee Natural 75ml;Saradox;25.05.15;26.05.2015;8X3;;;;
10663;Aftershave Gel Tube 30ml (PD Iin Full);MRL Private Collection;01.06.15;02.06.2015;8X3;;;;
10713;Aloe Vera 75ml ( PD IN FULL);Parceval Pharmaceuticals;11.06.15;17.06.2015;8X3;;;;
10738;Advacos;Cleansing Lotion 30ML;11.06.15;12.06.2015;8x3;;;;
10739;Advacos;Moisturiser 30ML;11.06.15;12.06.2015;8x3;;;;
10561;Britec Labs;OSH Shea Hand Cream 75ml Blossom;17.06.15;17.06.2015;8x3;;;;
10562;Britec Labs;OSH Shea Butter Hand Cream 75ml Nutty;17.06.15;17.06.2015;8x3;;;;
10563;Britec Labs;OSH Shea Butter Hand Cream 75ml Berry;17.06.15;17.06.2015;8x3;;;;
10724;Aerosol & Cosm.;Baby Therapy Cream Talc 100ml;18.06.15;22.06.2015;8x3;;;;
10725;Aerosol & Cosm.;Baby Therapy Aqueous Cream  175ml;18.06.15;22.06.2015;8x3;;;;
10726;Aerosol & Cosm.;Baby Therapy Petroleum Jelly 175ml;18.06.15;22.06.2015;8x3;;;;
10727;Aerosol & Cosm.;Baby Therapy Baby Oil 100ml;18.06.15;22.06.2015;8x3;;;;
10728;Aerosol & Cosm.;Baby Therapy Baby Lotion 175ml;18.06.15;22.06.2015;8x3;;;;
10729;Aerosol & Cosm.;Baby Therapy Body Wash 175ml;18.06.15;22.06.2015;8x3;;;;
10730;Aerosol & Cosm.;Baby Therapy Barrier Cream 175ml;18.06.15;22.06.2015;8x3;;;;
10731;Aerosol & Cosm.;Baby Therapy Shampoo 175ml;18.06.15;22.06.2015;8x3;;;;
