Pre-Prod No.;Product Code;Works Order;Unit Order No;Raw Code;Sales Rep;Client;Description;Qty_Including Waste;Artwork Order;Due for SAESA;Diameter;Material;Length;Orifice;Order;Proof;Proof Approved (Digital);Digital Trial;Digital Trial No;Trial approved;Revised Artwork After Trialling;Foil;Cap_Lid Style;Status;Closed;Repeat Job;T1_Date;Retrial T2;Retrial T3;Retrial T4;Retrial T5;Trial Comments
10005;C40LTSHZ001F;W00057940;109049/0;CLAM129SHZ001W;Mark K;SH'ZEN;Sh'zen Harmonizing Cleansing Gel 75ml (Digital);4000;COD- Paid  ;x;40;PBL;90;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10006;C40LTSHZ002F;W00057936;109044/0;CLAM129SHZ002W;Mark K;SH'ZEN;She'zen Revive Cleansing Gel 75ml  (Digital);4000;COD- Paid  ;x;40;PBL;90;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10007;C40LTSHZ003F;W00057944;109048/0;CLAM129SHZ003W;Mark K;SH'ZEN;Sh'zen Vanilla Cashmere Cleansing Gel 75ml (Digital);9500;-  ;x;40;PBL;90;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10012;C40LTSCE000F;W00059345;108964/0;CLAM129SCE000W;Rob;SCENT PACK;ROSE Florals Bouquet 100ml H&N (Digital);6000;-  ;x;40;PBL;120;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10016;Cancelled;Cancelled;Cancelled;Cancelled;Rob;CHARISMA CANDLES;100ml Masquerade Hand Treatment (Digital);5500;Cancelled  ;;40;PBL;120;10;x;x;x;Cancelled;Cancelled;Cancelled;;;F/T B/O;;closed;Cancelled;;;;;;
10017;C25LTSIM000F;W00059168;109824/0;CLAM082SIM000W;Rob;ALOE UNIQUE;Aloe Unique Hand  & Nail Cream (Digital);21500;-  ;x;25;PBL;110;4;x;x;x;x;1;x;0;;A;;closed;New;;;;;;
10018;C35LTSIM000F;W00059028;109825/0;CLAM113SIM000W;Rob;ALOE UNIQUE;Aloe Unique Bitter Gel 50ml (Digital);2500;-  ;x;35;PBL;100;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10019;C35LTSIM001F;W00059164;109826/0;CLAM113SIM001W;Rob;ALOE UNIQUE;Aloe Unique Aloe Gel 75ml (Digital);2500;-  ;x;35;PBL;120;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10057;C35LTCAT000F;W00058480;109834/0;CLAM113CAT000W;Mark K;Catwalk;Catwalk Beauciience Foot Balm 75ml (Digital);10500;-  ;x;35;PBL;130;6;x;x;x;x;1;x;0;;A;;closed;New;;;;;;
10058;C35LTCAT001F;W00058482;109339/0;CLAM113CAT001W;Mark K;Catwalk;Catwalk Beauciience Foot Scrub 75ml (Digital);2000;-  ;x;35;PBL;130;6;x;x;x;x;1;x;0;;A;;closed;New;;;;;;
10059;C35LTSUG000F;W00058484;109333/0;CLAM113SUG000W;Mark K;Catwalk;Magnolia Tube 75ml (Digital);2000;-  ;x;35;PBL;125;6;x;x;x;x;1;x;0;;A;;closed;New;;;;;;
10063;C40LTSRX000F;W00058979;109760/0;CLAM129SRX000W;Rob;SOLRX;SolRX Juniour Sunscreen SPF 50 120ml;2500;-  ;x;40;PBL;140;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10064;C40LTSRX001F;W00058982;109758/0;CLAM129SRX001W;Rob;SOLRX;SolRX Original Sunscreen SPF 50 120ml;6000;-  ;x;40;PBL;140;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10065;C40LTSRX002F;W00058983;118469/0;CLAM129SRX002W;Rob;SOLRX;SolRX Dry Zinc Sunscreen SPF 50 120ml;3000;-  ;x;40;PBL;140;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10074;C40LTRGP000F;W0058833;109603/0;CLAM129RGP000W;Rob;RW GERICKE;Inuka 100ml Tube(Digital);400;-  ;x;40;ABL Silver;120;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
10078;C35LTNFR000F;W00058830;109642/0;CLAM113NFR000W;Rob;Nature Fresh;Natural Fresh Junior Toothpaste 75ml ( Digital);5500;COR5/5/15  ;x;35;PBL;120;10;x;x;x;x;1;x;0;;F/T B/O;;closed;New;;;;;;
