UPDATE DR,,,,,,,,OWNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICATION DETAILS,,,,,,,,,,,Skye,122 owned moulds came over from Skye….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNERSHIP,,,,,,,,,,DATES,,,,PRODUCTION DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MouldNumber,Mould Number (Inserts),Mould Number (Inserts 2),FAR,Asset QR code,Discontinuation Number,Location,skye catalogue stds,Mould Index,Mould Code,Mould Number on Mould,Drawing No.,2nd Drawing No.,3rd Drawing No.,Mould Description,2nd Mould Description,Cavities,Linked Mould,Material,Weight G,Packaging,Preferred Machine,Manuf. Process,Manf. Shape,Shape,Business Line,Start Year (A),Mould Source 1,Mould Source 2,Date Mould Ordered,Amort,Comp,FAR Historical Cost,Historical Mould Cost as per Other on File,Historical Cost Extrapolated,Years Until 'Now',Estimated 'Now' Cost,Mould Cost - actual,Mould Cost Current,Mould Type Code,DL Mould  cost - material,DL Mould cost - labour,DL Mould cost - total,Current Age (Years),Usefull Life (A),Value Categories,Say Current Replacment Value (A),Location+K:AK,Status (B),Owner 1,NO OF MOULDS,Mould Family (Parent WC #),Notes on Mould Family,Other Specific Mould Notes,Owner 2,Date of Mould Order or Acquisition from?,Cost of Mould @ time of mould order,Additional Costs for Mould Mods,Notes on Ownership,Ammort. % @ 11/05/22,Exclusivity,Notes on Exclusivity,Custom / Standard,Main / Only Customer,Start Date,Notes on Start Date,Last production Date,Date No Longer Active,Shots Capability,Longevity' - High / Medium / Low,Notes on 'Longevity',Mould Condition - Good / Average / Poor,Date of Assessment of Condition,Total Units Since 2015,Total Shots,Date of 1st shot,Year,Earliest Start Date,2023/06/07,Years From Earliest Date,Years for Shot Data,Shots per Year,Shots per Month,Estimated Lifetime Shots,Years Remaining,Estimated Useful Life,Year Now,2025,Cost escalation %,"5,0%",FAR Start Date,FAR Start > DB Start (Years),FAR Start Year,#N/A,FAR Value vs. DB Value,Mould Class,Historical Cost Extra,Residual Value,Year Start,Default Useful Life,Default End of Life,Default Years of Dep,Default Accum Dep,Default NBV,Year of Default NBV,Extend #1,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #1 NBV,Year of Extend #1 NBV,Extend #2,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #2 NBV,Year of Extend #2 NBV,Extend #3,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #3 NBV,Year of Extend #3 NBV,Extend #4,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #4 NBV,Year of Extend #4 NBV,Extend #5,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #5 NBV,Year of Extend #5 NBV,Extend #6,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #6 NBV,Year of Extend #6 NBV,Extend #7,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #7 NBV,Year of Extend #7 NBV,Estimate NBV FY'24,Cost,Acc Dep,check:
+,,,,2205,,,,,B0400C1954CA,,1954/B,,,400ml Revlon Natural Honey Bottle,,3,,HDPE,"38,0",180,KEB 5,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2019,Other,,2018,YES,"1,85%",,R80 000,R80 000,"6,0",R107 208,,,EBM A-3,R40 950,R95 550,R136 500,"6,9",,,,2300,Dormant,Customer,,,,,AMKA,2018,"R80 000,00","R36 285,00","MOULD ORDER DD 01/04/2018 - COST R80 000 - AMORT 5YRS/6,5 MIL @ R0,020 - AGREEMENT NOT MET AS OF 19/11/2025 - MOULD MOD DD 18/02/206 - TO BE USED FOR ""EAD"" LOTION",,AMKA,,C,AMKA,2019/06/24,,09/12/2020,,,,,,,120 240,40 080,2019/06/13,2019,2019/06/13,,"4,0","4,0",10 054,838,40 080,"-4,0","0,0",,,,,,,,,,CustDor_O_Amort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINESE GRINDER 1,,,,,,,,,,,1068/A,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - CHINESE GRINDER & POLISHER - LINE 2,,2500/90MIN,,,,,,,,,,2025,,,,,,,,,,,"R558 100,00",,,,,,,,,,,Active,Bowler,,,,,BOWLER,,"R558 100,00",,MOULD ORDER DD 05/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINESE GRINDER 2,,,,,,,,,,,1068/A,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - CHINESE GRINDER & POLISHER - LINE 2,,2500/90MIN,,,,,,,,,,2025,,,,,,,,,,,"R558 100,00",,,,,,,,,,,Active,Bowler,,,,,BOWLER,,"R558 100,00",,MOULD ORDER DD 05/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINESE GRINDER 3,,,,,,,,,,,1068/A,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - CHINESE GRINDER & POLISHER - LINE 2,,2500/90MIN,,,,,,,,,,2025,,,,,,,,,,,"R558 100,00",,,,,,,,,,,Active,Bowler,,,,,BOWLER,,"R558 100,00",,MOULD ORDER DD 05/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINESE GRINDER 4,,,,,,,,,,,1068/A,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - CHINESE GRINDER & POLISHER - LINE 2,,2500/90MIN,,,,,,,,,,2025,,,,,,,,,,,"R558 100,00",,,,,,,,,,,Active,Bowler,,,,,BOWLER,,"R558 100,00",,MOULD ORDER DD 05/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINDER 1,,,,,,,,,,,1068,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - LINE 1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,Bowler,,,,,BOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINDER 2,,,,,,,,,,,1068,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - LINE 1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,Bowler,,,,,BOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINDER 3,,,,,,,,,,,1068,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - LINE 1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,Bowler,,,,,BOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINDER 4,,,,,,,,,,,1068,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - LINE 1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,Bowler,,,,,BOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRINDER 4,,,,,,,,,,,1068/A,,,BIG BALL ROLL ON BALL (INJECTION MOULDED) - CHINESE MOULD GROUND ON ROYAL MASTER,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,Bowler,,,,,BOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
