Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube,jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap/Lid Colour;Cap/Lid Diameter;Cap/Lid style;Cap/Lid Material;Other Cap/Lid info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Comments;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
2011-07-01;8503;#N/A;;;No order;;;;;;;;;;;;;;;;;;;#N/A;#N/A;#N/A;#NAME?;#NAME?;-;;-5817,857143;Open;;;;;;;;;;;;;;;;;;;
2011-07-01;7929;#N/A;Jar;-;No order;Aqueous Jar 350ml L/Frag Turkey ;J&J;Trevor;;;;-;-;-;-;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;KAMMAN;Sample sent 28-Jul 14/3/13 mail sent. 4/6/13 Mail sent. 25/7/13 Mail sent  21/8/13 Project closed  Boxed in office .;112;Closed;2013-08-21;;;;;;;;;;;;;;;;;;,
2011-07-01;7930;CJAROJAJ201F;Jar;-;Order;Aqueous Jar 100Ml F/Free Jar;J&J;Trevor;83774;22;;-;-;-;-;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Sample sent 3 Aug;17;Closed;2011-10-24;;;;;;;;;;;;;;;;;;,
2011-07-01;7931;#N/A;Mould list (1 series);-;No order;Baby Powder 50 Gm B/Time P/Proof Bott;J&J;Trevor;;;;-;-;-;-;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;30.10.12;TRIAL APPRVD Hk;Awtg artwork;113;Closed;2013-08-29;;;;;;;;;;;;;;;;;;,
2011-07-01;7932;C0100JAJ052F;Mould;-;Order;Baby Powder 100 Gm B/Time P/proof Bott;J&J;Trevor;95588;;;-;-;-;-;;;;-;-;;;;08/06/2012;2012-07-10;-;2013-02-11;29.08.12;KAMMAN;Do trial .29/10 Ian.F to sign off rediness review.;85;Closed;2013-02-13;;;;;;;;;;;;;;;;;;,
2011-07-01;7933;C0200JAJ068F;Bottle;-;Order;Baby Powder 200Gm B/Time P/Proof Bott;J&J;Trevor;;32;;-;-;-;-;;;;-;-;;;;08/06/2012;2012-07-10;-;2012-12-30;2012-08-01;TRIAL APPRVD Kamman;Do trial;66;Closed;2012-10-01;;;;;;;;;;;;;;;;;;,
2011-07-01;7934;C40TBJUS090F;Bottle;-;Order (a/w);Baby Powder 400Gm B/Time P/Proof Bott;J&J;Trevor;91780;20;;-;-;-;35;;;;-;-;;;X;08/06/2012;2012-07-10;-;2012-09-06;10.09.12;TRIAL APPRVD Kamman;Do trial;66;Closed;2012-10-01;;;;;;;;;;;;;;;;;;,
2011-07-01;7935;C40TBSHZ060F;Tube;-;Order;Vanilla Cashmere Body Crm 75Ml T&C Coex prl crm 38 B/On P Crm;SH'ZEN;Mark K;81773;12;;90;COEX;10;40;Natural;prl cream;38;B/O;-;38 B/On Prl Cream;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;5;Closed;2011-08-02;;;;;;;;;;;;;;;;;;,
2011-07-01;7936;CCAP3SHZ020W;Tube;-;Order;Vanilla cashmere Cleans Gel 100Ml T&C Coex Prl Crm 38 B/On Prl Crm;SH'ZEN;Mark K;81774;12;;120;COEX;10;40;;prl cream;38;B/O;-;38 B/On Prl Cream;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;5;Closed;2011-08-02;;;;;;;;;;;;;;;;;;,
2011-07-04;7937;#N/A;Tube;-;Order;Nimue Man Hydrate Hydro Balance 100ml T&C Coex Brown 40 F/T brown;Nimue Skin;Jayne;;;;120;COEX;8;40;;Brown;40;F/T;-;40 Flip Brown;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;4;Closed;2011-07-26;;;;;;;;;;;;;;;;;;,
